"Region_code_9_digit","Region_code","Region_name","IDACI_decile","Rurality","A1A4den_13","KS4_LEVEL2_13","KS4_LEVEL2_EM_13","KS4_LEVEL1_13","KS4_LEVEL1_EM_13","KS4_L2BASICS_13","KS4_EBACC_E_13","KS4_EBACC_13"
"E12000001","A","North East","0-10% most deprived","Urban","x","x","x","x","x","x","x","x"
"E12000001","A","North East","0-10% most deprived","Rural","x","x","x","x","x","x","x","x"
"E12000008","J","South East","50-60%","Rural","2211","1801","1368","2131","2095","1388","782","528"
"E12000008","J","South East","60-70%","Urban","7513","6409","5020","7287","7196","5074","3007","1970"
"E12000008","J","South East","60-70%","Rural","2671","2246","1797","2593","2564","1819","1094","787"
"E12000008","J","South East","70-80%","Urban","6979","5953","4819","6786","6707","4876","3021","2081"
"E12000008","J","South East","70-80%","Rural","3325","2801","2306","3224","3191","2332","1466","1040"
"E12000008","J","South East","80-90%","Urban","6907","6071","5081","6750","6686","5143","3249","2370"
"E12000008","J","South East","80-90%","Rural","3686","3160","2660","3571","3527","2681","1685","1273"
"E12000008","J","South East","90-100% least deprived","Urban","9170","8210","7105","8985","8924","7162","4784","3657"
"E12000008","J","South East","90-100% least deprived","Rural","3584","3154","2755","3514","3498","2778","1825","1401"
"E12000009","K","South West","0-10% most deprived","Urban","x","x","x","x","x","x","x","x"
"E12000009","K","South West","0-10% most deprived","Rural","x","x","x","x","x","x","x","x"
"E12000009","K","South West","10-20%","Urban","x","x","x","x","x","x","x","x"
"E12000009","K","South West","10-20%","Rural","x","x","x","x","x","x","x","x"
"E12000009","K","South West","20-30%","Urban","4221","3123","2008","3972","3860","2041","990","548"
"E12000009","K","South West","20-30%","Rural","728","474","321","687","662","334","204","109"
"E12000009","K","South West","30-40%","Urban","4555","3449","2311","4321","4231","2356","1275","691"
"E12000009","K","South West","30-40%","Rural","1298","981","711","1242","1232","726","420","220"
"E12000009","K","South West","40-50%","Urban","4746","3735","2682","4568","4490","2731","1496","895"
"E12000009","K","South West","40-50%","Rural","2856","2192","1655","2760","2702","1690","1159","691"
"E12000009","K","South West","50-60%","Urban","4773","3854","2953","4602","4538","2988","1699","1035"
"E12000009","K","South West","50-60%","Rural","4020","3225","2529","3892","3823","2569","1653","1060"
"E12000009","K","South West","60-70%","Urban","4006","3311","2550","3888","3827","2592","1481","946"
"E12000009","K","South West","60-70%","Rural","3626","2956","2369","3515","3479","2402","1525","1013"
"E12000009","K","South West","70-80%","Urban","3563","2969","2390","3469","3410","2426","1499","987"
"E12000009","K","South West","70-80%","Rural","3197","2644","2102","3124","3060","2122","1417","949"
"E12000009","K","South West","80-90%","Urban","3579","3040","2486","3491","3420","2507","1616","1127"
"E12000009","K","South West","80-90%","Rural","2271","1932","1579","2219","2173","1597","1107","785"
"E12000009","K","South West","90-100% least deprived","Urban","2705","2406","2019","2647","2589","2031","1375","1018"
"E12000009","K","South West","90-100% least deprived","Rural","835","734","621","816","802","625","392","280"
