"Region_code_9_digit","Region_code","Region_name","LAD_code_9_digit","LAD_code","LAD_name","A1A4den_13","KS4_LEVEL2_13","KS4_LEVEL2_EM_13","KS4_LEVEL1_13","KS4_LEVEL1_EM_13","KS4_L2BASICS_13","KS4_EBACC_E_13","KS4_EBACC_13"
"E12000004","E","East Midlands","E07000037","17UH","High Peak",1043,908,640,1015,"1001",649,263,185
"E12000004","E","East Midlands","E07000038","17UJ","North East Derbyshire",1025,862,616,989,"979",625,240,158
"E12000004","E","East Midlands","E07000039","17UK","South Derbyshire",1053,819,578,1007,"995",586,254,175
"E12000004","E","East Midlands","E07000129","31UB","Blaby",1110,950,685,1072,"1062",694,238,148
"E12000004","E","East Midlands","E07000130","31UC","Charnwood",1557,1253,864,1482,"1475",873,360,222
"E12000004","E","East Midlands","E07000131","31UD","Harborough",939,733,599,908,"896",610,225,155
"E12000004","E","East Midlands","E07000132","31UE","Hinckley and Bosworth",1027,883,629,986,"979",637,239,142
"E12000004","E","East Midlands","E07000133","31UG","Melton",570,511,382,555,"549",382,184,158
"E12000004","E","East Midlands","E07000134","31UH","North West Leicestershire",1080,900,637,1036,"1024",639,469,281
"E12000004","E","East Midlands","E07000135","31UJ","Oadby and Wigston",665,532,429,649,"641",433,176,130
"E12000004","E","East Midlands","E07000136","32UB","Boston",701,528,350,667,"651",355,171,74
"E12000004","E","East Midlands","E07000137","32UC","East Lindsey",1458,1224,905,1415,"1400",917,556,335
"E12000004","E","East Midlands","E07000138","32UD","Lincoln",891,768,456,854,"836",458,351,187
"E12000004","E","East Midlands","E07000139","32UE","North Kesteven",1320,1193,883,1286,"1278",888,719,474
"E12000004","E","East Midlands","E07000140","32UF","South Holland",990,776,573,959,"936",581,401,208
"E12000004","E","East Midlands","E07000141","32UG","South Kesteven",1555,1319,1017,1504,"1487",1034,707,471
"E12000004","E","East Midlands","E07000142","32UH","West Lindsey",1056,902,646,1014,"1003",658,523,287
"E12000004","E","East Midlands","E07000150","34UB","Corby",786,672,403,753,"730",404,212,111
"E12000004","E","East Midlands","E07000151","34UC","Daventry",887,679,552,859,"849",574,393,258
"E12000004","E","East Midlands","E07000152","34UD","East Northamptonshire",1013,801,534,965,"956",541,443,247
"E12000004","E","East Midlands","E07000153","34UE","Kettering",1117,889,642,1066,"1049",649,448,240
"E12000004","E","East Midlands","E07000154","34UF","Northampton",2316,1861,1305,2191,"2154",1332,841,471
"E12000004","E","East Midlands","E07000155","34UG","South Northamptonshire",1026,839,725,1007,"1001",739,382,234
"E12000004","E","East Midlands","E07000156","34UH","Wellingborough",902,704,530,851,"837",537,280,169
"E12000004","E","East Midlands","E07000170","37UB","Ashfield",1419,1214,828,1350,"1329",833,542,305
"E12000004","E","East Midlands","E07000171","37UC","Bassetlaw",1270,1200,882,1241,"1215",888,411,270
"E12000004","E","East Midlands","E07000172","37UD","Broxtowe",1065,907,668,1037,"1025",674,353,241
"E12000004","E","East Midlands","E07000173","37UE","Gedling",1205,1096,811,1169,"1142",811,409,272
"E12000004","E","East Midlands","E07000174","37UF","Mansfield",1206,1014,687,1164,"1149",693,383,187
"E12000004","E","East Midlands","E07000175","37UG","Newark and Sherwood",1268,1068,772,1202,"1190",781,535,298
"E12000004","E","East Midlands","E07000176","37UJ","Rushcliffe",1133,1075,913,1118,"1113",914,588,453
"E12000005","F","West Midlands","E06000019","00GA","Herefordshire, County of UA",1824,1541,1022,1761,"1715",1026,702,419
"E12000005","F","West Midlands","E06000051","00GG","Shropshire UA",3168,2516,1938,3066,"3022",1959,1201,772
"E12000005","F","West Midlands","E06000021","00GL","Stoke-on-Trent UA",2867,2383,1439,2723,"2677",1447,856,432
"E12000005","F","West Midlands","E06000020","00GF","Telford and Wrekin UA",2034,1773,1136,1948,"1911",1139,632,371
"E12000005","F","West Midlands","E07000192","41UB","Cannock Chase",1186,1013,673,1139,"1125",676,246,156
"E12000005","F","West Midlands","E07000193","41UC","East Staffordshire",1309,1077,804,1263,"1209",812,512,280
